,0,1
0,Shanks,"Conhecendo tanto a derrota quanto a vitória, andando por aí derramando lágrimas, é assim que você se torna um verdadeiro homem."
1,Sanji,"Os anjos nos deram a comida; os demônios, o tempero."
2,Emporio Ivankov,Milagres só acontecem com as pessoas que não desistem.
3,Sanji,Um homem que não pode enxugar as lagrimas de uma mulher não é um homem. 
4,Shanks,"Você pode jogar bebida, pode jogar comida e até cuspir em mim. Eu vou rir de tudo isso. Mas.. uma coisa que não é permitido é que alguém machuque um de meus amigos!"
5,Shanks,"Conhecendo tanto a derrota quanto a vitória, andando por ai derramando lágrimas, é assim que se torna um verdadeiro homem."
6,Nami,"A vida é como um lápis que certamente se esgotará, mas deixará a bela escrita da vida."
7,Nami,Não há limites para o poder de uma pessoa quando ela quer salvar alguém.
8,Nami,Todo mundo é fraco quando hesita.
9,Nami,"Para que serve o tesouro se estou sozinha? Após compartilhar tanto dos nossos sonhos. Em vez de sacrificá-los e ir embora com você, prefiro não ter nada!"
10,Monkey D. Luffy,"É patético desistir de algo, sem nem mesmo ter tentado."
11,Monkey D. Luffy,Quem diz que não pode ser feito nunca deve interromper aquele que está fazendo.
12,Roronoa Zoro,"Não quero ser um herói, heróis dividem sua bebida…"
13,Roronoa Zoro,Há alguém que devo encontrar de novo. E até esse dia... nem mesmo a própria morte pode tirar a minha vida!
14,Roronoa Zoro,Você quer me matar? Você não seria capaz nem de matar meu tédio!
15,Portgas D. Ace,"Eu não tenho a intenção de viver mil anos. Se eu viver só por hoje, já está bom."
16,Roronoa Zoro,A tripulação que perde o respeito por seu capitão facilmente será destruída.
17,Monkey D. Luffy,Kaizoku ou ni ore wa naru!
18,Kikyo,"O sujo se purifica, o puro se torna sujo, oque é bom se torna mau, e o mau se torna bom, tudo que vive um dia morre, e oque morre um dia renasce."
19,Sanji,Não comece uma luta se você não pode terminá-la.
20,Roronoa Zoro,"Eu serei o maior espadachim do mundo! Tudo o que me resta é meu destino! Meu nome pode ser infame, mas vai abalar o mundo!"
21,Crocodile,Ideais devem ser ditos apenas por aqueles fortes o bastante para cumpri-los
22,Sanji,Pessoas são o que são no coração!
23,Roronoa Zoro,Você já viu uma fera selvagem que você tem certeza que ela jamais iria te morder?Por que eu não!
24,Tom,"Quando um homem faz o que pode, ele só precisa se manter altivo e convicto!"
25,Emporio Ivankov,"Grandes decisões são sempre repentinas, se quiserem vir comigo preparem-se para morrer, armem-se para a batalha e esperem por nós!"
26,Marshall D. Teach,"Quem planta o medo colhe derrota, nós só precisamos viver o momento!"
27,Monkey D. Luffy,"Hum mas... Eu serei aquele que irá achar o One Piece, Hihihihi."
28,Nami,"Todos estão esperando sua ajuda, mas você vem aqui e não pensa em fazer nada para ajudar essas pessoas?"
29,Brook,"Eu tenho bons olhos para garotas bonitas, apezar de eu não ter olhos!"
30,Dr. Hiriluk,Quando você acha que uma pessoa morre? Quando ela leva um tiro de pistola bem no coração? Não! Quando são vencidas por uma doença incurável? Não! Quando bebem uma sopa de cogumelo venenoso? Não! Elas morrem... Quando são esquecidas!
31,Crocodile,Ser fraco desse jeito... Chega a ser um crime!
32,Sanji,"Nós, homens, fomos feitos para conviver com as mentiras das mulheres."
33,Portgas D. Ace,Cuidem do meu irmãozinho por mim...!
34,Belamy,"Eu sei que sou idiota, mas até idiotas podem ter princípios."
35,Brook,Ossos também são nutritivos
36,Brook,Posso ver sua calcinha?
37,Monkey D. Luffy,Não tem nada a ver com ser possível ou não. Eu faço porque quero.
38,Roronoa Zoro,"Se você não consegue proteger seu capitão, sua ambição não tem o menor sentido...Luffy é o homem que se tornará o Rei dos Piratas"
39,Monkey D. Luffy,"Eu não quero conquistar nada, só acho que a pessoa mais livre é o rei dos piratas !"
40,Nico Robin,Eu nunca cheguei a pensar que algum dia eu ia querer ficar mais forte por alguém.
41,Roronoa Zoro,"Não importa o que o mundo diz de mim, o que importa é que eu nunca fiz nada que contrariasse os meus princípios e nunca farei."
42,Portgas D. Ace,Será que eu mereço ter nascido ? O que eu queria era uma resposta pra essa pergunta
43,Usopp,Chega um momento em que um homem deve se manter de pé e lutar. Esse momento é quando alguém ri dos sonhos de seus amigos.
44,Usopp,"Há momentos em que um homem precisa enfrentar inimigos muito piores que a morte, mesmo que sejam inimigos imbatíveis!E também a momentos em que um homem não pode fugir da luta,esse momento é quando alguém faz pouco caso de sonho de um amigo!"
45,Nico Robin,Eu arrasto comigo trevas das quais vocês nem fazem ideia.
46,Jaguar D. Saul,"Quando estiver com problemas, ria."
47,Jaguar D. Saul,Ninguém nasce neste mundo para ser completamente sozinho.
48,Roronoa Zoro,"Quando o mundo é ruim com você, tem-se que lidar com isso."
49,Crocodile,"Se quer proteger alguma coisa, faça direito!"
50,Naguri,Não importa quantos anos você tenha para perseguir seu sonho.
51,Monkey D. Luffy,"Eu não sei usar espadas, não sei navegar, também não sei cozinhar e não sei mentir, o que eu sei, é que dependo dos meus amigos se quiser continuar vivendo!"
52,Monkey D. Luffy,Não se mostra gratidão morrendo.
53,Monkey D. Luffy,"Você sabe o que os heróis fazem? Vou dar o exemplo de um pedaço de carne, tudo bem? Piratas irão ter um banquete e comê-la, mas os heróis irão dividir com outras pessoas. Eu quero comer toda a carne!"
54,Jinbe,"Pode ser difícil agora… Mas você deve silenciar esses pensamentos! Pare de contar apenas as coisas que você perdeu! O que se foi, se foi!"
55,Brook,Solidão não faz mais parte do meu vocabulário.
56,Brook,A morte nunca é uma desculpa.
57,Brook,"O que você sabe da morte? Você já morreu? Você acha que a morte preservará sua causa para sempre? A morte não deixa nada para trás! Quando uma pessoa passa, nada resta senão ossos mortos. Se há uma coisa que eu não suporto, é uma pessoa sem respeito pela vida."
58,Roronoa Zoro,Somente aqueles que sofreram por muito tempo podem ver a luz dentro das sombras. 
59,Monkey D. Luffy,"Esquecer é como uma ferida. A ferida pode cicatrizar, mas já deixou uma cicatriz."
60,Portgas D. Ace,Nós temos que viver uma vida sem arrependimentos.
61,Monkey D. Luffy,Estar sozinho é mais doloroso do que se machucar.
62,Dr. Hiriluk,Existe uma cura para toda doença.
63,Nico Robin,O que é mais importante que seus sonhos?
64,Iceburg,Não existe bem ou mal quando uma arma machuca alguém.
65,Jinbe,"Não pense que perdeu tudo, você não pode ignorar aquilo que ainda não perdeu. O que é aquilo que você ainda tem?"
66,Sanji,"Não interessa se um milhão de pessoas te julgarem, eu vou sempre acreditar nas lágrimas de uma mulher!!!"
67,Sengoku,Não tente encontrar uma justificativa para o amor de alguém!
68,Zeff,"Homens não podem chutar mulheres, é questão de bom senso. Já era assim quando viviamos com dinossauros!"
69,Gol D. Roger,"Eu não vou morrer, parceiro."
70,Jinbe,Um homem que quer fazer parte da tripulação do próximo Rei dos Piratas não pode temer um mero Yonkou.
71,Monkey D. Luffy,"Um bom homem não desiste de seus bons sonhos nem que o navio afunde, sempre irei lutar para cumpri-los!"
72,Trafalgar D. Water Law,"Se passaram dois anos desde a Guerra dos Melhores, alguém conquistou alguma coisa? Tudo o que você fez foi ficar quieto, tudo o que o Barba Branca fez foi encerrar um Era! Os Quartéis Generais da Marinha reuniram novas forças. Ninguém tomou uma atitude! É como se todos estivessem esperando e se preparando para alguma coisa, e aquela guerra foi apenas o começo! Você sempre me disse que a ""Nova Era"" dos mais fortes estava por vir, como uma onda inevitável! Eu acabei de destruir as engrenagens! Agora não tem mais volta!"
73,Donquixote Doflamingo,"O que você acha que os monstros que estão à solta, ficarem sem a ""comida"" que eu costumava fornecer irão fazer? Quem agora irá segurar as coleiras para controlá-los neste mar?"
74,Edward Newgate,"O homem que Roger está esperando, pelo menos Teach, não é você. Assim como têm aqueles que herdaram a vontade de Roger, alguém com certeza herdará a vontade de Ace! Mesmo que vocês acabem com a linhagem sanguínea dele, não tem como apagarem sua chama. Ela vem sendo passada desde os tempos antigos, e no futuro... Algum dia... Alguém vai aparecer, com toda a verdade daquela história daquele tempo em suas costas e desafiar o mundo inteiro!"
75,Edward Newgate,"Sengoku... Vocês do Governo Mundial... Todos tem medo dessa enorme guerra que vai envolver o mundo inteiro que um dia, com certeza acontecerá! Eu não importo nesta história, mas quando alguém encontrar aquele tesouro todo... O mundo vai virar de cabeça para baixo... E alguem vai encontrá-lo, esse dia com certeza vai vir. O One Piece... EXISTE!"
